,CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,Rb,Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Type de roche
10,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,8.398717903231461e-07,1.3294643352172578e-07,6.0700163545260164e-05,8.710941504033558e-05,4.4310585155771836e-08,8.047178912200311e-08,3.49700454718318e-07,0.0011242962089924164,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,8.470313800409472e-06,1.266430445981795e-05,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,9.863449571382822e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,5.917783253728448e-07,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,3.999676205320422e-08,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
11,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,5.376516381538124e-07,5.971997413220667e-08,6.0700163545260164e-05,8.710941504033558e-05,7.700737447725218e-08,8.047178912200311e-08,3.49700454718318e-07,0.0004475993652978591,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,4.3550072118534534e-05,1.8427908387394532e-05,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,4.092341628758604e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,1.456019942129623e-06,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,1.6408540261782e-07,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
12,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,2.3543148598447852e-07,5.971997413220667e-08,6.0700163545260164e-05,8.710941504033558e-05,7.700737447725218e-08,8.047178912200311e-08,3.49700454718318e-07,0.0004475993652978591,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,8.470313800409472e-06,6.900700532241363e-06,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,9.863449571382822e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,1.456019942129623e-06,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,1.0204108233551209e-07,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
13,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,1.14209194249248e-06,1.3294643352172578e-07,6.0700163545260164e-05,8.710941504033558e-05,7.700737447725218e-08,8.047178912200311e-08,3.0707434373304098e-06,0.0024776898963815306,3.7957827910269396e-05,2.229079596295429e-05,1.108370486459007e-05,1.122737838431189e-06,1.7240253379940738e-05,6.900700532241363e-06,1.1484574567455192e-06,1.6326461962432042e-05,2.1364886707960255e-05,0.0002761694935483951,9.863449571382822e-06,2.981465510651869e-06,3.048601166044646e-05,3.5867819225529062e-06,1.456019942129623e-06,3.247784495129698e-07,1.2060373882813608e-05,1.295127122526395e-05,2.8873006315294512e-06,1.071164158749889e-05,1.8537360850121495e-06,6.119504173493881e-07,2.5533097337013757e-06,3.5693610070867483e-07,2.895683533718319e-06,8.060719539765726e-07,2.0773456344732633e-06,1.6597757497094738e-07,9.691722231871372e-07,1.2757143211538937e-07,1.03252248589803e-07,1.6408540261782e-07,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
14,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,2.3543148598447852e-07,5.971997413220667e-08,6.0700163545260164e-05,8.710941504033558e-05,7.700737447725218e-08,8.047178912200311e-08,3.49700454718318e-07,0.0004475993652978591,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,8.470313800409472e-06,6.900700532241363e-06,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,9.863449571382822e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,2.320261558886401e-06,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,3.999676205320422e-08,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
15,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,2.3543148598447852e-07,5.971997413220667e-08,6.0700163545260164e-05,8.710941504033558e-05,7.700737447725218e-08,8.047178912200311e-08,3.49700454718318e-07,0.0011242962089924164,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,8.470313800409472e-06,6.900700532241363e-06,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,4.092341628758604e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,5.917783253728448e-07,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,3.999676205320422e-08,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
16,0.00014565028713826538,8.903433702473731e-07,3.2005842628161015e-08,1.14209194249248e-06,5.971997413220667e-08,6.0700163545260164e-05,8.037046715209467e-05,1.097041637987325e-07,3.809917412106996e-07,3.49700454718318e-07,0.0004475993652978591,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,1.7240253379940738e-05,1.8427908387394532e-05,5.766448155110763e-07,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,9.863449571382822e-06,1.4623827230334536e-05,2.2600609115718822e-05,9.619798486809864e-06,1.456019942129623e-06,1.2798454822820147e-07,1.2060373882813608e-05,1.295127122526395e-05,2.8873006315294512e-06,1.071164158749889e-05,1.8537360850121495e-06,6.119504173493881e-07,2.5533097337013757e-06,3.5693610070867483e-07,2.895683533718319e-06,5.132594353553128e-07,1.3361960638447538e-06,1.6597757497094738e-07,9.691722231871372e-07,1.2757143211538937e-07,2.864428590238826e-07,1.0204108233551209e-07,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
17,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,2.3543148598447852e-07,5.971997413220667e-08,6.0700163545260164e-05,8.037046715209467e-05,1.097041637987325e-07,8.047178912200311e-08,3.49700454718318e-07,0.0004475993652978591,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,8.470313800409472e-06,6.900700532241363e-06,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,4.092341628758604e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,1.456019942129623e-06,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,1.6408540261782e-07,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
18,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,2.3543148598447852e-07,5.971997413220667e-08,6.0700163545260164e-05,8.037046715209467e-05,4.4310585155771836e-08,8.047178912200311e-08,3.49700454718318e-07,0.0004475993652978591,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,8.470313800409472e-06,6.900700532241363e-06,5.766448155110763e-07,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,9.863449571382822e-06,2.981465510651869e-06,6.829804026263544e-06,3.5867819225529062e-06,5.917783253728448e-07,1.2798454822820147e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,8.125164176138822e-07,2.204469167340531e-07,5.950464932162448e-07,7.267064470391267e-08,2.907972498570606e-07,5.328078974633319e-08,1.03252248589803e-07,3.999676205320422e-08,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
19,0.00014565028713826538,3.1754495381901214e-07,1.0772273307671066e-08,5.376516381538124e-07,5.971997413220667e-08,6.0700163545260164e-05,8.037046715209467e-05,7.700737447725218e-08,8.047178912200311e-08,3.49700454718318e-07,0.0011242962089924164,3.7957827910269396e-05,2.229079596295429e-05,4.530505170786716e-06,1.122737838431189e-06,1.7240253379940738e-05,6.900700532241363e-06,1.1484574567455192e-06,6.225704097571925e-06,2.1364886707960255e-05,0.00018518586030304618,9.863449571382822e-06,2.981465510651869e-06,1.4715206570991182e-05,3.5867819225529062e-06,1.456019942129623e-06,5.21572350797738e-07,5.40302068954559e-06,5.253045569555133e-06,9.310345935624133e-07,4.392883110837329e-06,8.000609968486323e-07,2.470945681072646e-07,1.0167916635143225e-06,1.4423206840446313e-07,1.8540999756661005e-06,2.204469167340531e-07,1.3361960638447538e-06,7.267064470391267e-08,6.299847365220988e-07,5.328078974633319e-08,1.03252248589803e-07,1.6408540261782e-07,4.5895465369671674e-07,1.6644139676473023e-05,R. carbonatées
