,CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
25,0.00014161882405639944,1.7246152811754907e-07,5.857930907251487e-05,8.303951498388456e-05,0.0004750649561205334,4.196388622563118e-06,3.054899876170864e-05,6.608106221737325e-06,R. carbonatées
26,0.0001415695452840576,1.173569007843913e-06,5.904999545623452e-05,8.25195498278231e-05,0.0010267205376664381,0.00010611544549475584,3.054899876170864e-05,9.053405767401709e-06,R. carbonatées
27,0.00014050322400669657,1.9980902920753815e-07,5.9252895119152067e-05,8.12503288875445e-05,0.00010925094345058049,7.883036305871411e-06,3.054899876170864e-05,4.253436855686013e-06,R. carbonatées
28,0.0001403835023111942,7.579692028473205e-07,5.910811861528412e-05,8.127538369591008e-05,0.0008567673707832243,9.042089850645322e-06,2.1168471778267258e-05,5.577912570203283e-06,R. carbonatées
29,0.00013900274888358768,3.749256347840409e-07,5.7581653089335145e-05,8.142109579425253e-05,0.002104404203781182,1.97324732325618e-05,1.3816831516971454e-05,1.8656156510785705e-05,R. carbonatées
30,0.0001389858670111972,1.2217522873929072e-06,5.829855562179621e-05,8.0687311389401e-05,0.0006571243658835477,9.322823104736869e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
31,0.00013894242163652357,3.828537125406858e-07,5.8254321832597825e-05,8.068809980392573e-05,0.00027299634488656366,2.0197469691634385e-05,8.353122624377482e-05,4.498527340409477e-06,R. carbonatées
32,0.00013871124945408095,8.528920615340948e-07,5.6474370519846014e-05,8.223687893423493e-05,0.0006411861569018499,4.458601639741681e-05,3.778647975410817e-05,3.3151969703693833e-06,R. carbonatées
33,0.0001382995040083596,3.9522741267940275e-07,5.7711725783967936e-05,8.058777822439166e-05,0.0008201709114414997,2.7040723981900453e-05,2.7312050974235844e-05,4.874688336873211e-06,R. carbonatées
34,0.0001381982339601858,1.3220474219853926e-07,5.7937308890186484e-05,8.026092506999932e-05,0.0004953668420922198,9.27934605100228e-06,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
35,0.00013816031714249918,1.0063135913371984e-06,5.803582521795384e-05,8.012449192454535e-05,0.0016563686377874239,1.2912618478596626e-05,7.785107768781803e-06,8.007825413083179e-06,R. carbonatées
36,0.00013764040348738921,2.878609406816696e-07,5.7145046663302924e-05,8.04953568240863e-05,0.00022548245542128488,7.208057522577996e-06,3.054899876170864e-05,3.700136194923371e-06,R. carbonatées
37,0.00013758522992338487,7.034703108727168e-07,5.7497499437638444e-05,8.008773048574644e-05,0.002323214413000517,2.664326277857242e-05,3.054899876170864e-05,2.929741499598021e-06,R. carbonatées
38,0.00013757751057376336,2.490433866195917e-07,5.751650783311689e-05,8.006100274064645e-05,0.00047705689369986,1.5945523901633712e-05,3.054899876170864e-05,2.8572904101193354e-06,R. carbonatées
39,0.00013729471724485538,4.5878075731050484e-07,5.736228949945529e-05,8.022119396063429e-05,0.0013935622784275567,2.664326277857242e-05,4.858118954851263e-05,8.051269919473367e-06,R. carbonatées
40,0.00013665757430324647,8.432140989981162e-08,5.808244060605468e-05,7.85751336971918e-05,0.00017503106837790495,5.142857142857143e-06,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
